string,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
archi - _ADJ_,1,1,4,4,5,0,0,2,22,17,6,2,2,1,5,8,5,9,6,4,2,20,11,26,31,10,21,14,18,26,35,12,4,16,14,7,6,25,19,15,18,30,9,14,23,28,1,20,9,11,46,1,6,9,6,9,17,23,24,14,24,26,9,36,33,31,28,18,21,21,15,22,14,10,12,29,23,10,10,5,20,21,33,32,36,31,25,29,43,34,40,45,45,39,40,47,65,41,53,34,55,52,53,69,80,68,64,57,67,52,34,41,55,64,60,28,45,36,27,39,45,39,65,46,51,54,52,59,70,54,80,45,55,29,40,52,41,47,42,45,17,19,27,20,18,21,41,30,50,40,64,38,36,55,48,45,67,45,42,63,44,74,88,83,60,96,81,118,111,98,105,109,123,93,101,109,113,97,108,123,110,75,117,105,90,100,129,121,110,123,146,135,134,151,142,107,124,135,173,172,191,183,222,211,209,221,209,201,210,135
archi - _ADP_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,1,0,0,4,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,2,0,0,0,3,0,0,2,0,0,1,0,0,2,0,0,1,1,0,0,0,0,1,2,0,4,0,0,1,1,2,1
archi - _ADV_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,4,3,6,2,1,2,3,1,1,4,10,0,5,0,0,5,2,1,1,3,2,3,2
archi - _CONJ_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,8,0,0,0,0,0,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,5,0,5,6,5,9,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,4,1,0,1,1,0,5,0,3,0,4,6,2,2,2,1,1
archi - _DET_,0,0,0,1,0,0,0,1,1,1,0,1,0,0,4,0,0,1,0,0,0,0,1,0,0,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,0,1,2,0,2,1,0,2,0,1,2,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,1,0,0,0,1,0,0,3,1,1,0,0,3,0,0,0,0,2,0,1,0,1,0,1,0,2,1,2,3,1,0,0,0,1,0
archi - _END_,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,2,1,0,0,0,0,8,0,7,3,7,0,2,3,0,0,0,2,0,0,0,0,1,2,1,3,0,2,0,1,1,0,0,0,2,3,0,2,0,1,0,1,0,0,0,0,1,0,2,0,0,0,1,1,2,0,1,1,0,0,2,0,1,2,0,3,0,3,0,1,3,4,1,0,0,1,0,1,1,0,1,2,0,1,0,1,4,0,0,1,1,1,2,0,1,2,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,5,3,2,3,3,1,0,2,0,0,0,3,0,0,1,2,0,1,1,4,2,2,1,5,1,2,3,5,4,2,1,3,3,5,1,1,2,5,1,2,2,3,1,1,1,4,3,5,0,2,1,4,7,4,9,3,1,3,5,1
archi - _NOUN_,19,27,45,94,120,241,173,99,163,95,75,212,57,50,94,157,99,67,182,238,96,233,228,238,268,212,228,139,572,373,681,206,117,211,313,276,269,166,567,170,241,199,177,150,153,248,101,121,94,115,112,129,113,140,160,134,120,120,155,124,122,180,148,149,64,162,101,127,317,118,124,37,88,88,82,100,89,76,101,92,86,53,76,125,76,130,69,101,120,129,124,148,128,82,117,126,87,104,144,90,92,125,126,97,98,147,82,118,201,101,83,83,104,97,122,55,51,35,39,70,40,70,71,101,51,111,80,79,76,75,87,31,49,63,60,66,40,39,67,33,23,29,15,36,20,22,67,46,59,58,52,38,47,46,78,53,84,81,77,46,76,86,101,106,95,103,172,202,203,174,213,140,142,245,185,161,189,195,188,180,107,171,204,169,190,170,221,229,160,207,242,225,294,205,320,265,403,353,320,352,360,347,368,373,417,403,518,469,445,281
archi - _PRON_,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,6,0,0,0,1,0,1,3,0,0,0,1,2,0,1,2,0,0,2,0,5,1,0,0,2,1
archi - _PRT_,1,0,0,3,4,2,3,0,2,1,1,0,5,2,1,1,2,1,3,2,0,4,4,6,3,5,0,4,90,5,15,4,1,3,1,2,7,3,11,3,8,14,0,6,5,7,5,8,3,7,9,3,2,3,0,5,0,0,10,1,1,4,6,1,7,2,0,0,1,8,0,1,1,1,1,0,0,0,6,8,2,1,0,6,1,5,2,2,3,5,4,0,5,0,2,4,2,1,3,2,6,0,6,9,0,5,4,4,9,1,3,8,7,1,0,1,6,2,2,2,1,2,3,4,1,1,1,0,3,5,0,4,1,2,5,1,4,0,3,2,2,0,2,1,0,2,5,1,0,0,4,0,1,1,5,5,2,4,4,1,3,1,1,2,4,3,8,2,6,5,7,11,5,13,3,1,7,3,11,6,11,2,7,1,8,4,11,3,5,14,10,8,8,7,8,6,26,6,16,10,14,10,6,9,7,7,23,13,13,10
archi - _VERB_,0,0,0,1,4,9,2,2,4,2,0,1,0,1,5,3,0,0,2,4,0,2,0,3,1,1,0,1,39,0,10,2,0,1,1,3,3,2,3,1,11,0,11,6,1,6,0,1,4,1,0,1,3,8,0,3,3,0,4,2,2,2,4,0,7,7,1,1,8,4,0,7,2,2,2,15,4,1,1,2,5,3,5,3,5,5,0,14,6,4,3,3,7,10,1,14,6,15,10,14,11,16,4,7,9,14,9,13,11,5,2,10,8,6,5,1,6,6,9,11,0,5,10,7,4,6,13,26,12,6,13,8,4,12,11,13,3,7,4,3,3,6,1,9,5,3,8,3,8,14,10,6,14,16,9,3,5,6,9,8,6,15,14,17,17,18,14,27,24,23,28,15,22,11,16,31,41,24,27,23,12,30,27,15,32,22,26,18,24,26,20,32,23,19,35,38,57,35,26,40,61,37,48,45,39,39,37,36,36,30
